file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.76239013671875,-53.0866458599384,4.071275400724936,11.350522153732708
F2BJRLP3,0.0,30.7068125,corpus,-46.125473484848484,-47.04998831503436,3.8100192347632955,10.187437229917744
F2BJRLP1,0.0,25.309125,corpus,-45.836740683076314,-46.05264927580365,3.7936169304488683,8.358741840495986
F2BJRLP2,0.0,28.6474375,corpus,-45.3226565228781,-45.85751461611358,3.3189488753567593,8.12752602789516
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.30438811587591,-52.868526458740234,2.720301210788462,11.487459857985517
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-45.22445251781088,-51.4398390452067,2.6145091779893646,12.313150105575744
